category,subcategory,brand,model,wattage
Kitchen,Oven,Convotherm,C4eD 6.20 EB-N,15.9
Kitchen,Oven,Convotherm,C4eD 6.20 ES,15.9
Kitchen,Oven,Convotherm,C4eD 6.20 ES-N,15.9
Kitchen,Oven,Convotherm,C4eT 6.20 EB,15.9
Kitchen,Oven,Convotherm,C4eT 6.20 EB-N,15.9
Kitchen,Oven,Convotherm,C4eT 6.20 ES,15.9
Kitchen,Oven,Convotherm,C4eT 6.20 ES-N,15.9
Kitchen,Oven,UNOX S.p.A.,XAVC-1011-EP*M-***,15.7
Kitchen,Oven,Henny Penny,FPE115,15.7
Kitchen,Oven,MKN Maschinenfabrik Kurt Neubauer GmbH & Co.KG,FKECOD115T,15.7
EV Charger,EV Charger,Injet,iM3C-15K6A,15.6000
EV Charger,EV Charger,Enphase,HCS-80,15.3600
EV Charger,EV Charger,Enphase,IQ-EVSE-NA-1080-0100-0100,15.3600
EV Charger,EV Charger,Enphase,HSC-80,15.3600
EV Charger,EV Charger,ZEF Energy Inc.,ZEFNET-40-U,15.3600
Kitchen,Oven,Retigo s.r.o.,B 621 i,15.3
Kitchen,Oven,"Atosa, STARBRIDGE",EPA-0711E2,15.2
Kitchen,Oven,Blodgett,HV-100E,15
EV Charger,EV Charger,INFYPOWER,EXP180K2-FD-UU2,14.8889
EV Charger,EV Charger,InCharge,ICE-180-CC,14.8889
EV Charger,EV Charger,MSI,MS-XP01,14.4000
Kitchen,Oven,UNOX S.p.A.,XAVC-06FS-EP*M-***,14.3
EV Charger,EV Charger,G9EV,"JB3.0-321, JB3.0-322, JB3.0-401, JB3.0-402, JB3.0-481, JB3.0-482, JB3.0-801",13.4400
Kitchen,Oven,UNOX S.p.A.,XA*A-0611-EX*S-***,12.5
Kitchen,Oven,Hobart,HEC501D,12.32
Kitchen,Oven,Vulcan,VC4ED,12.32
Kitchen,Oven,Wolf,WC4ED,12.32
EV Charger,EV Charger,ChargePoint,CPH50,12.0000
EV Charger,EV Charger,ChargePoint,CPF50,12.0000
EV Charger,EV Charger,ChargePoint,"""CPH50 CPH50-L18 CPF50-L23 CPF50-L18-PEDMNT-Dual CPF50-L18-CMK6-PEDMNT-Dual CPF50-L18-PEDMNT CPF50-L18-PEDMNT-CMK6 CPF50-L18-WALLMNT-CMK6 CPF50-L23-PEDMNT CPF50-L23-PEDMNT-CMK6 CPF50-L23-PEDMNT-Dual CPF50-L23-WALLMNT-CMK6",12.0000
EV Charger,EV Charger,FLO,HOX6F2A1A1,12.0000
EV Charger,EV Charger,AUTEL,Maxi US AC W12-H,12.0000
EV Charger,EV Charger,AUTEL,Maxi US AC W12,12.0000
EV Charger,EV Charger,AUTEL,Maxi US AC W12-L-4G,12.0000
EV Charger,EV Charger,AUTEL,Maxi US AC LW12,12.0000
EV Charger,EV Charger,Blink,HQW2-50C-N1-N1-N-23,12.0000
EV Charger,EV Charger,Blink,MQW2-50C-M2-R1-N-23,12.0000
